sequence,split
6203,train
563,train
1284,train
1733,train
5626,train
252,train
5186,train
15,train
3987,train
3212,train
377,train
2177,train
4834,train
4880,train
2695,train
6240,train
1910,train
2674,train
642,train
5048,train
575,train
2092,train
5437,train
4215,train
3641,train
2698,train
5166,train
3300,train
3421,train
3883,train
517,train
4815,train
2966,train
5352,train
1930,train
3554,train
1332,train
5142,train
3284,train
4958,train
1802,train
32,train
4683,train
4556,train
2451,train
6830,train
3810,train
3571,train
3919,train
1663,train
4004,train
1441,train
2921,train
1315,train
1452,train
5943,train
2271,train
2537,train
3680,train
3729,train
2510,train
4648,train
5543,train
2358,train
1687,train
6178,train
4283,train
3454,train
4580,train
2660,train
6578,train
3520,train
2615,train
1214,train
4084,train
970,train
3685,train
6777,train
1162,train
5282,train
1172,train
6484,train
3033,train
3362,train
3223,train
594,train
6425,train
6928,train
5134,train
2772,train
1012,train
3027,train
6345,train
5288,train
4916,train
1114,train
4841,train
6558,train
6855,train
3336,train
5872,train
2338,train
2750,train
6629,train
1107,train
304,train
550,train
6058,train
6901,train
2637,train
1792,train
3391,train
368,train
6536,train
68,train
5861,train
3187,train
6914,train
1825,train
4511,train
5765,train
3433,train
4862,train
1987,train
1623,train
685,train
2360,train
5285,train
1873,train
3900,train
6348,train
2520,train
6464,train
3658,train
450,train
1642,train
2937,train
5798,train
6960,train
5971,train
1197,train
877,train
6219,train
1269,train
5039,train
5574,train
4952,train
1702,train
1810,train
6130,train
4866,train
6577,train
6489,train
1097,train
6661,train
1177,train
2835,train
2735,train
186,train
3602,train
2538,train
900,train
1908,train
6796,train
2252,train
2350,train
1410,train
3852,train
2741,train
1523,train
2644,train
2023,train
489,train
2033,train
5919,train
1427,train
1379,train
6190,train
4573,train
6067,train
4480,train
3928,train
3314,train
7068,train
6551,train
7051,train
1028,train
925,train
4842,train
4801,train
5439,train
4672,train
1722,train
4192,train
4553,train
4669,train
6400,train
7057,train
3437,train
5420,train
3687,train
218,train
6388,train
4611,train
5418,train
5083,train
3201,train
3639,train
1023,train
5359,train
6832,train
6163,train
7110,train
3017,train
5004,train
4966,train
5127,train
5952,train
5628,train
2590,train
2806,train
1886,train
4248,train
5113,train
6847,train
2858,train
2530,train
6549,train
4610,train
2791,train
4892,train
3446,train
4829,train
3485,train
38,train
1099,train
4300,train
5584,train
4443,train
626,train
3378,train
562,train
5055,train
6413,train
2887,train
605,train
4191,train
1179,train
4909,train
4804,train
5240,train
3003,train
6439,train
935,train
5589,train
6184,train
4240,train
1605,train
2096,train
1475,train
6641,train
3799,train
6517,train
1823,train
5331,train
5104,train
83,train
3181,train
3825,train
283,train
2988,train
6773,train
2819,train
4813,train
2659,train
6596,train
3366,train
6877,train
4641,train
2037,train
3416,train
2051,train
3203,train
4987,train
3006,train
5608,train
5226,train
4646,train
2922,train
4194,train
467,train
1358,train
5410,train
7024,train
3123,train
4943,train
6927,train
6853,train
4593,train
3127,train
213,train
1033,train
2101,train
3474,train
5393,train
287,train
3064,train
7000,train
2563,train
4990,train
2540,train
2332,train
3784,train
1696,train
1182,train
2328,train
1645,train
3732,train
6957,train
3298,train
3358,train
3912,train
5634,train
1629,train
2445,train
55,train
6521,train
1495,train
4599,train
5276,train
2018,train
3222,train
2468,train
6430,train
2645,train
2420,train
960,train
5777,train
7029,train
318,train
1395,train
3418,train
903,train
1117,train
3664,train
2862,train
2661,train
1828,train
6491,train
1160,train
976,train
5310,train
2593,train
3196,train
5299,train
4015,train
682,train
4128,train
3357,train
4247,train
3593,train
2144,train
1838,train
2762,train
2846,train
426,train
2057,train
4912,train
5847,train
2715,train
1707,train
5221,train
974,train
4989,train
5555,train
5033,train
1659,train
471,train
3107,train
4181,train
4164,train
5845,train
2340,train
3845,train
5787,train
5060,train
4104,train
3283,train
6088,train
312,train
2583,train
3951,train
7030,train
244,train
6791,train
3125,train
1062,train
5080,train
6656,train
6570,train
6589,train
5956,train
3099,train
1831,train
6094,train
6182,train
1985,train
1282,train
1991,train
533,train
2926,train
3556,train
2361,train
4043,train
5362,train
3054,train
4050,train
3466,train
5378,train
93,train
6660,train
2630,train
3394,train
1078,train
1827,train
4945,train
1396,train
2343,train
2512,train
2901,train
6643,train
